0 0
1 0
2 0
3 0.002
4 0.007
5 0.014
6 0.038
7 0.078
8 0.113
9 0.177
10 0.256
11 0.334
12 0.426
13 0.508
14 0.607
15 0.662
16 0.743
17 0.812
18 0.896
19 0.923
20 0.973
21 0.977
22 1.015
23 1.016
24 1.036
25 1.052
26 1.077
27 1.105
28 1.126
29 1.135
30 1.173
60 1.316
90 1.355
120 1.378
150 1.395
180 1.423
210 1.411
240 1.384
270 1.402
300 1.414
330 1.426
360 1.411
390 1.403
420 1.442
450 1.464
480 1.44
510 1.399
540 1.411
570 1.426
600 1.415
630 1.425
660 1.395
690 1.423
720 1.442
750 1.404
780 1.454
810 1.421
840 1.469
870 1.427
900 1.408
