0 0
1 49
2 48
3 47
4 46
5 45.3
6 44.45
7 44.05
8 42.9
9 42.6
10 42.5
11 42.75
12 42.8
13 44.35
14 44.2
15 44.35
16 47
17 47.3
18 49.05
19 50.25
20 52.8
21 53
22 54.85
23 58.45
24 61.1
25 60.5
26 62.95
27 65.65
28 65.9
29 64.9
30 66.55
31 66.8
32 66.35
33 65.7
34 65.2
35 65.1
36 64.4
37 63.35
38 62.7
39 61.85
40 61.55
41 60.6
42 59.5
43 58.9
44 58.1
45 58.2
46 57.65
47 57.05
48 56.5
49 56.45
50 57.05
100 60.2
150 60.55
200 62.1
250 61.85
300 63
350 62.25
400 60.75
450 62.5
500 62.1
550 63.25
600 62.2
650 60.95
700 62.75
750 61.6
800 60.7
850 62.1
900 62.65
950 61.4
1000 60.95
1050 61.85
1100 62.6
1150 61.15
1200 62.15
1250 61.9
1300 63.15
1350 62.6
1400 62.2
1450 62.15
1500 62.05
1550 61.1
1600 62.15
1650 62.85
1700 62.35
1750 61.6
1800 62.4
1850 61.2
1900 62.05
1950 61.85
2000 60.5
2050 62.2
2100 61.25
2150 62.7
2200 61.25
2250 61.7
2300 63.15
2350 61.4
2400 62.8
2450 60.95
2500 61.25
