0 0
1 0
2 0.007
3 0.038
4 0.048
5 0.078
6 0.135
7 0.208
8 0.209
9 0.294
10 0.359
11 0.431
12 0.471
13 0.542
14 0.603
15 0.654
16 0.739
17 0.76
18 0.822
19 0.9
20 0.91
21 0.968
22 0.986
23 1.062
24 1.098
25 1.108
26 1.124
27 1.161
28 1.197
29 1.22
30 1.241
31 1.267
32 1.31
33 1.325
34 1.38
35 1.395
36 1.407
37 1.489
38 1.488
39 1.536
40 1.58
41 1.607
42 1.608
43 1.63
44 1.672
45 1.677
46 1.698
47 1.782
48 1.81
49 1.841
50 1.858
51 1.915
52 1.94
53 1.917
54 1.987
55 1.997
56 2.045
57 2.06
58 2.082
59 2.124
60 2.13
61 2.169
62 2.171
63 2.191
64 2.224
65 2.277
66 2.279
67 2.336
68 2.337
69 2.349
70 2.394
71 2.385
72 2.429
73 2.454
74 2.468
75 2.492
76 2.511
77 2.53
78 2.566
79 2.549
80 2.621
81 2.609
82 2.668
83 2.656
84 2.723
85 2.738
86 2.73
87 2.748
88 2.777
89 2.857
90 2.869
91 2.884
92 2.873
93 2.873
94 2.931
95 2.979
96 2.956
97 3.054
98 3.047
99 3.057
100 3.089
200 4.028
300 4.744
400 5.371
500 5.805
600 6.286
700 6.755
800 7.18
900 7.443
1000 7.695
1100 8.003
1200 8.276
1300 8.735
1400 8.857
1500 9.148
1600 9.395
1700 9.615
1800 9.844
1900 10.01
2000 10.205
2100 10.382
2200 10.579
2300 10.73
2400 10.932
2500 11.073
2600 11.347
2700 11.288
2800 11.638
2900 11.689
3000 11.901
3100 12.057
3200 12.171
3300 12.202
3400 12.458
3500 12.561
3600 12.654
3700 12.791
3800 12.984
3900 13.033
4000 13.146
4100 13.401
4200 13.394
4300 13.65
4400 13.56
4500 13.841
4600 13.855
4700 14.071
4800 14.269
4900 14.139
5000 14.255
5100 14.261
5200 14.364
5300 14.559
5400 14.782
5500 14.887
5600 14.83
5700 15.049
5800 15.334
5900 15.154
6000 15.287
6100 15.323
6200 15.411
6300 15.545
6400 15.556
6500 15.702
6600 15.608
6700 15.871
6800 15.746
6900 15.849
7000 16.154
7100 16.156
7200 16.206
7300 16.4
7400 16.382
7500 16.348
7600 16.656
7700 16.559
7800 16.673
7900 16.758
8000 16.87
8100 16.749
8200 16.907
8300 17.073
8400 17.049
8500 16.977
8600 17.016
8700 17.37
8800 17.279
8900 17.328
9000 17.384
9100 17.143
9200 17.532
9300 17.532
9400 17.49
9500 17.978
9600 17.918
9700 17.709
9800 17.877
9900 18.095
10000 17.983
