0 0
1 0
2 0.012
3 0.05
4 0.098
5 0.148
6 0.254
7 0.374
8 0.448
9 0.523
10 0.65
11 0.75
12 0.823
13 0.901
14 1.007
15 1.048
16 1.102
17 1.144
18 1.241
19 1.281
20 1.324
21 1.347
22 1.411
23 1.502
24 1.512
25 1.594
26 1.659
27 1.733
28 1.76
29 1.846
30 1.881
60 2.357
90 2.593
120 2.753
150 2.914
180 2.958
210 3.052
240 3.167
270 3.218
300 3.231
330 3.26
360 3.311
390 3.344
420 3.342
450 3.452
480 3.405
510 3.35
540 3.392
570 3.375
600 3.363
630 3.396
660 3.395
690 3.473
720 3.449
750 3.486
780 3.44
810 3.433
840 3.466
870 3.419
900 3.396
