0 0
1 0
2 0.023
3 0.058
4 0.128
5 0.194
6 0.318
7 0.371
8 0.471
9 0.592
10 0.65
11 0.771
12 0.832
13 0.912
14 0.973
15 1.051
16 1.12
17 1.132
18 1.211
19 1.304
20 1.312
21 1.361
22 1.471
23 1.47
24 1.579
25 1.624
26 1.65
27 1.699
28 1.773
29 1.822
30 1.86
31 1.925
32 1.948
33 2.045
34 2.099
35 2.089
36 2.207
37 2.215
38 2.255
39 2.294
40 2.369
41 2.396
42 2.459
43 2.501
44 2.526
45 2.607
46 2.645
47 2.693
48 2.718
49 2.756
50 2.788
100 3.747
150 4.541
200 5.094
250 5.598
300 6.068
350 6.654
400 6.984
450 7.457
500 7.739
550 8.035
600 8.416
650 8.661
700 8.952
750 9.387
800 9.643
850 10.035
900 10.157
950 10.463
1000 10.761
1050 11.063
1100 11.239
1150 11.453
1200 11.621
1250 11.731
1300 12.076
1350 12.398
1400 12.535
1450 12.741
1500 13.087
1550 13.204
1600 13.395
1650 13.526
1700 13.772
1750 14.096
1800 14.16
1850 14.297
1900 14.523
1950 14.706
2000 14.848
2050 14.981
2100 15.175
2150 15.313
2200 15.556
2250 15.776
2300 15.791
2350 16.061
2400 16.234
2450 16.336
2500 16.558
