0 0
1 0
2 0.007
3 0.033
4 0.043
5 0.105
6 0.145
7 0.197
8 0.289
9 0.343
10 0.44
11 0.498
12 0.583
13 0.661
14 0.696
15 0.769
16 0.799
17 0.889
18 0.968
19 1.016
20 1.042
21 1.066
22 1.124
23 1.178
24 1.193
25 1.214
26 1.234
27 1.268
28 1.323
29 1.339
30 1.378
31 1.412
32 1.477
33 1.498
34 1.535
35 1.571
36 1.601
37 1.619
38 1.71
39 1.739
40 1.781
41 1.829
42 1.891
43 1.89
44 1.951
45 1.982
46 2.02
47 2.04
48 2.049
49 2.15
50 2.144
100 2.624
150 2.884
200 3.1
250 3.218
300 3.392
350 3.439
400 3.551
450 3.599
500 3.675
550 3.696
600 3.723
650 3.737
700 3.783
750 3.835
800 3.807
850 3.873
900 3.797
950 3.809
1000 3.816
1050 3.898
1100 3.871
1150 3.867
1200 3.917
1250 3.917
1300 3.832
1350 3.92
1400 3.882
1450 3.904
1500 3.896
1550 3.899
1600 3.877
1650 3.895
1700 3.889
1750 3.912
1800 3.903
1850 3.855
1900 3.918
1950 3.933
2000 3.856
2050 3.877
2100 3.877
2150 3.903
2200 3.913
2250 3.949
2300 3.907
2350 3.932
2400 3.898
2450 3.966
2500 3.967
