0 0
1 0
2 0
3 0
4 0
5 0.001
6 0.004
7 0.006
8 0.021
9 0.032
10 0.047
11 0.077
12 0.114
13 0.162
14 0.221
15 0.277
16 0.385
17 0.454
18 0.532
19 0.636
20 0.718
21 0.793
22 0.861
23 0.91
24 0.953
25 0.982
26 0.99
27 0.998
28 1.002
29 1.004
30 1.003
60 1.012
90 1.011
120 1.008
150 1.011
180 1.008
210 1.014
240 1.009
270 1.011
300 1.01
330 1.005
360 1.014
390 1.011
420 1.017
450 1.011
480 1.015
510 1.015
540 1.019
570 1.008
600 1.012
630 1.009
660 1.005
690 1.01
720 1.008
750 1.011
780 1.012
810 1.009
840 1.015
870 1.008
900 1.007
