0 0
1 49
2 48
3 47.15
4 46.15
5 45.4
6 44.85
7 44.75
8 43.9
9 45
10 43.8
11 44.45
12 45.7
13 47.3
14 49.1
15 51.15
16 52.35
17 53.5
18 56
19 59.55
20 61.9
21 62.5
22 64.75
23 66.3
24 66.6
25 68.35
26 68.8
27 69.4
28 69.15
29 69.25
30 69.25
31 69.6
32 68.2
33 67.7
34 67.2
35 66.25
36 66.05
37 65.7
38 64.85
39 64.15
40 63.7
41 64.2
42 63.1
43 63.4
44 62.8
45 63.65
46 63.3
47 63.55
48 64.65
49 65.25
50 66.05
100 75.75
150 78.7
200 80.95
250 80.65
300 80.65
350 81.55
400 82.05
450 81.65
500 82.65
550 82.1
600 82.1
650 81.6
700 81.55
750 82.35
800 82.1
850 82.3
900 82.45
950 81.65
1000 82.05
1050 82.6
1100 82.8
1150 81.9
1200 83.25
1250 82.05
1300 83.2
1350 82.75
1400 83.65
1450 82.15
1500 83.05
1550 81.05
1600 81.9
1650 82.45
1700 82.35
1750 80.7
1800 81.75
1850 82.35
1900 80.4
1950 81.7
2000 82.95
2050 82.7
2100 82.2
2150 81.3
2200 83.4
2250 81.9
2300 83.25
2350 83
2400 83.7
2450 80.95
2500 81.95
