0 0
1 0
2 0.043
3 0.114
4 0.176
5 0.31
6 0.431
7 0.575
8 0.684
9 0.815
10 0.947
11 1.029
12 1.122
13 1.222
14 1.299
15 1.357
16 1.456
17 1.519
18 1.599
19 1.698
20 1.778
21 1.789
22 1.938
23 2
24 2.106
25 2.117
26 2.24
27 2.287
28 2.37
29 2.397
30 2.442
60 3.324
90 3.968
120 4.548
150 5.07
180 5.523
210 5.864
240 6.267
270 6.589
300 6.97
330 7.351
360 7.598
390 7.868
420 8.193
450 8.454
480 8.61
510 8.937
540 9.289
570 9.394
600 9.569
630 9.98
660 10.047
690 10.291
720 10.529
750 10.764
780 11.074
810 11.098
840 11.386
870 11.602
900 11.704
