0 0
1 0
2 0.02
3 0.06
4 0.111
5 0.192
6 0.268
7 0.381
8 0.479
9 0.551
10 0.668
11 0.739
12 0.807
13 0.915
14 0.999
15 1.088
16 1.117
17 1.172
18 1.236
19 1.281
20 1.331
21 1.394
22 1.473
23 1.498
24 1.53
25 1.57
26 1.675
27 1.725
28 1.752
29 1.839
30 1.851
31 1.878
32 1.983
33 1.998
34 2.045
35 2.07
36 2.112
37 2.203
38 2.16
39 2.234
40 2.218
41 2.265
42 2.33
43 2.31
44 2.361
45 2.436
46 2.389
47 2.428
48 2.484
49 2.499
50 2.546
100 3.032
150 3.386
200 3.593
250 3.754
300 3.892
350 3.972
400 4.082
450 4.125
500 4.184
550 4.302
600 4.271
650 4.35
700 4.354
750 4.41
800 4.425
850 4.454
900 4.489
950 4.435
1000 4.522
1050 4.448
1100 4.521
1150 4.498
1200 4.577
1250 4.45
1300 4.601
1350 4.475
1400 4.53
1450 4.598
1500 4.575
1550 4.531
1600 4.607
1650 4.641
1700 4.613
1750 4.567
1800 4.604
1850 4.535
1900 4.516
1950 4.571
2000 4.585
2050 4.731
2100 4.564
2150 4.591
2200 4.561
2250 4.616
2300 4.667
2350 4.554
2400 4.541
2450 4.685
2500 4.579
